Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10007855,Swansea University,C,17,Business and Management Studies,,,,11,15,11.5,12,13,13,10.5
10007855,Swansea University,C,18,Law,,,,1,2,6,6,3,3,5
10007855,Swansea University,C,19,Politics and International Studies,,,,5,7,1,8,4,3,6
10007855,Swansea University,C,20,Social Work and Social Policy,,,,2.5,3.5,1,3,4,3,3.5
10007855,Swansea University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,5.5,2,2,3,6.5,2
10007855,Swansea University,D,26,Modern Languages and Linguistics,,,,1,1.5,2,5,6,6,3
10007855,Swansea University,D,27,English Language and Literature,,,,5,8,6,9.5,8.5,14,13
10007855,Swansea University,D,28,History,,,,8,6,5,4.5,2.5,6,2
10007161,Teesside University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,3,3.67,4.67,6,13.67,14
10007161,Teesside University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,1.67,0.33,0.66,1,1.33,3.33
10007161,Teesside University,B,12,Engineering,,,,13,8.33,10,8.67,12,6.33,14.33
10007161,Teesside University,C,20,Social Work and Social Policy,,,,1,2,0.67,4.67,1,3.67,2
10007161,Teesside University,D,32,"Art and Design: History, Practice and Theory",,,,7,4,3.33,4.33,9,8,6.33
10008017,Trinity Laban,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,2,3,4,4,3,3,2
10007858,UWTSD,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0,0,0,1,0,1
10007858,UWTSD,C,23,Education,,,,0,0,2,1,2,1,1
10007858,UWTSD,D,26,Modern Languages and Linguistics,,,,0,0,2,1,2,0,1
10007858,UWTSD,D,31,Theology and Religious Studies,,,,15,25,14,10,8,2,7
10007858,UWTSD,D,32,"Art and Design: History, Practice and Theory",,,,1,5,0,5,2,2,1
10007807,University of Ulster,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,32.71,30.09,29.5,35.6,34.03,32.71,27.59
10007807,University of Ulster,A,4,"Psychology, Psychiatry and Neuroscience",,,,10.61,11.81,10.3,8.15,6.66,11.03,6.99
10007807,University of Ulster,B,11,Computer Science and Informatics,,,,9.93,12.61,17.43,7.3,14.76,18.43,8.62
10007807,University of Ulster,B,12,Engineering,,,,7.48,2,7.32,8.49,8.48,8.97,4.97
10007807,University of Ulster,C,13,"Architecture, Built Environment and Planning",,,,9.47,11.14,12.31,5.97,11.6,10.95,8.96
10007807,University of Ulster,C,14,Geography and Environmental Studies,,,,4,4,4.82,8,6.66,2.66,2.15
10007807,University of Ulster,C,17,Business and Management Studies,,,,5.32,4.98,6.65,8.97,3.65,1.99,3.97
10007807,University of Ulster,C,18,Law,,,,1.5,1.5,4.46,0,6.63,1.5,3.65
10007807,University of Ulster,C,20,Social Work and Social Policy,,,,4,1.65,5.16,4.82,8.3,3.9,2.31
10007807,University of Ulster,C,23,Education,,,,2.83,1.65,0,4.47,2,1,1
10007807,University of Ulster,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,5.15,4.98,4.4,2.99,4.5,3.49,1.5
10007807,University of Ulster,D,26,Modern Languages and Linguistics,,,,1.39,3.98,4.98,4.82,4.49,3.5,1.5
10007807,University of Ulster,D,27,English Language and Literature,,,,2,1.33,4.99,1.5,5,2.5,0.5
10007807,University of Ulster,D,28,History,,,,5.3,0.66,1.5,2,6,4,1
10007807,University of Ulster,D,32,"Art and Design: History, Practice and Theory",,,,4.16,8.8,4.3,3.23,5.81,3.99,4.32
10007807,University of Ulster,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,4.09,4,1,2.5,1.33,1,3.66
10007807,University of Ulster,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,5.69,3,0,2.33,0.66,0,0
10007784,University College London,A,1,Clinical Medicine,,,,142.8,136.4,151,157.65,140.46,138,144
10007784,University College London,A,2,"Public Health, Health Services and Primary Care",,,,36,27,45,47.65,51.8,38,39
10007784,University College London,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,39.6,36,54,46.5,59.05,38,44
10007784,University College London,A,4,"Psychology, Psychiatry and Neuroscience",,,,186.63,180,210,189,201.34,215,215
10007784,University College London,A,5,Biological Sciences,,,(joint submission with Birkbeck College and Institute of Zoology),97.15,98.2,100,115,88.25,83,86
10007784,University College London,B,7,Earth Systems and Environmental Sciences,,,(joint submission with Birkbeck College),4,8.6,9,10,8,7,13
10007784,University College London,B,8,Chemistry,,,,34,36,48,47,50.75,47,31
10007784,University College London,B,9,Physics,,,,30.5,55,49,58,48,54,56
10007784,University College London,B,10,Mathematical Sciences,,,,11.1,17.07,23,24,17.1,28,20
10007784,University College London,B,11,Computer Science and Informatics,,,,27.2,31.33,31,28.2,35,55,44
10007784,University College London,B,12,Engineering,,,,96.15,116.4,126,137,123.7,163,156
10007784,University College London,C,13,"Architecture, Built Environment and Planning",,,,34,44.92,40.7,46.7,54.5,73,64
10007784,University College London,C,14,Geography and Environmental Studies,,,,10.75,17,14,19,22.8,29.3,22
10007784,University College London,C,15,Archaeology,,,,22,19,29,22,15,22,18
10007784,University College London,C,16,Economics and Econometrics,,,,12,18,10,18,11.35,16,14
10007784,University College London,C,17,Business and Management Studies,,,,2,0,2,0,3,2,1
10007784,University College London,C,18,Law,,,,7,10.5,11,12.8,9.65,13,12
10007784,University College London,C,19,Politics and International Studies,,,,6,5,6,10.2,5.35,3,10
10007784,University College London,C,20,Social Work and Social Policy,,,,2.87,5.88,3,8,3,12,8
10007784,University College London,C,22,Anthropology and Development Studies,,,,19,15,16.3,19,23,20,23
10007784,University College London,C,23,Education,,,,91,94,96,104,94,84,140
10007784,University College London,D,25,Area Studies,A,UoA25A UCL School of Slavonic & East European Studies (SSEES),,7,16,10,12,6.5,7,11
10007784,University College London,D,25,Area Studies,B,UoA25B Institute of the Americas (UCL-IA),,2,4,3,1,3,2,6
10007784,University College London,D,26,Modern Languages and Linguistics,,,,15.05,20,19.88,23,23.2,17,20
10007784,University College London,D,27,English Language and Literature,,,,9,13,11,7,7,9,6
10007784,University College London,D,28,History,,,,15.2,16,15,17,19,14,8
10007784,University College London,D,29,Classics,,,,7,3,5,6.88,5,6,4
10007784,University College London,D,30,Philosophy,,,,6,6,10,11,7,11,10
10007784,University College London,D,31,Theology and Religious Studies,,,,2,1,2,2,1,2,2
10007784,University College London,D,32,"Art and Design: History, Practice and Theory",A,UoA32A UCL History of Art Department,,5,6,11,7,5,11,10
10007784,University College London,D,32,"Art and Design: History, Practice and Theory",B,UoA32B The Slade School of Fine Art,,5,3.5,0.12,5.42,6,3.7,6
10007784,University College London,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,3,7,3,5,0,6,3
10000936,University College of Osteopathy,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,0,0,0,0,0,0,0
10006427,University for the Creative Arts,D,32,"Art and Design: History, Practice and Theory",,,,4,7,5,2,4,9,6
10007163,University of Warwick,A,1,Clinical Medicine,,,,10.1,12.32,12.75,11.34,16.41,6.5,15.92
10007163,University of Warwick,A,2,"Public Health, Health Services and Primary Care",,,,23.73,22.5,20.27,21.61,20.59,22.87,29.4
10007163,University of Warwick,A,4,"Psychology, Psychiatry and Neuroscience",,,,8.5,3,1,5.5,9,12.4,5.55
10007163,University of Warwick,A,5,Biological Sciences,,,,35.2,33.01,34.84,33.8,28.77,36.75,43.45
10007163,University of Warwick,B,8,Chemistry,,,,39.3,50.55,39.51,34.58,56.88,38.33,41.5
10007163,University of Warwick,B,9,Physics,,,,29.52,30,29.9,25.47,43.45,32,31.95
10007163,University of Warwick,B,10,Mathematical Sciences,,,,29.75,33.44,36.4,47.45,46,34.5,49.13
10007163,University of Warwick,B,11,Computer Science and Informatics,,,,7.15,11.3,14.53,17.25,18.7,17.7,19.7
10007163,University of Warwick,B,12,Engineering,,,,30.95,40.53,46.8,70.5,71.7,59.25,58.9
10007163,University of Warwick,C,16,Economics and Econometrics,,,,11.5,22.5,18,18.5,13.66,10.8,9.5
10007163,University of Warwick,C,17,Business and Management Studies,,,,31.8,17.35,26,31.5,53.94,37.2,34.17
10007163,University of Warwick,C,18,Law,,,,7,7,10,6.5,13.5,7.2,10.5
10007163,University of Warwick,C,19,Politics and International Studies,,,,7,17.5,25,22,20.5,32.2,23.49
10007163,University of Warwick,C,21,Sociology,,,,5,7,14.8,10,11.7,12.9,9.51
10007163,University of Warwick,C,23,Education,,,,21.1,32.5,30.7,14,25.4,24,29.63
10007163,University of Warwick,D,26,Modern Languages and Linguistics,,,,4,2.5,11,8.5,9.5,9,6.75
10007163,University of Warwick,D,27,English Language and Literature,,,,10,7.2,9,13.5,12.5,15.9,9.25
10007163,University of Warwick,D,28,History,,,,11.4,13.4,10.4,15.5,4.4,6.5,13.5
10007163,University of Warwick,D,29,Classics,,,,2,1,1,2.5,1.5,2,7
10007163,University of Warwick,D,30,Philosophy,,,,7,3,12,7,3,8.1,8
10007163,University of Warwick,D,32,"Art and Design: History, Practice and Theory",,,,2,3.5,2,5,1,1,2
10007163,University of Warwick,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,11.5,8.9,12.6,9.5,9.9,4.4,12.2
10006566,University of West London,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,5,2,2,2,0.29,1
10006566,University of West London,B,11,Computer Science and Informatics,,,,1,5,6,2,3,2,1
10006566,University of West London,B,12,Engineering,,,,0,0,1,1,3,0,1
10006566,University of West London,C,20,Social Work and Social Policy,,,,0,1,1,2,0,3,1
10006566,University of West London,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,1,0,2,0,0,0
10006566,University of West London,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,0,1,2,4,1,0,3
10006566,University of West London,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1,2,0,2,3,0,1
10007164,UWE Bristol,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,24,13,15,20,15,9,27
10007164,UWE Bristol,A,6,"Agriculture, Food and Veterinary Sciences",,,,2,1,1,2,4,3,4
10007164,UWE Bristol,B,11,Computer Science and Informatics,,,,3,1,5,2,3,1,5
10007164,UWE Bristol,B,12,Engineering,,,,8,6,7,4,4,4,14
10007164,UWE Bristol,C,13,"Architecture, Built Environment and Planning",,,,6,8,7,3,5,5,8
10007164,UWE Bristol,C,17,Business and Management Studies,,,,10,9,5,9,4,4,10
10007164,UWE Bristol,C,18,Law,,,,0,3,1,0,3,1,3
10007164,UWE Bristol,C,20,Social Work and Social Policy,,,,8,6,7,8,6,9,5
10007164,UWE Bristol,C,23,Education,,,,4,6,3,7,0,5,5
10007164,UWE Bristol,D,27,English Language and Literature,,,,4,2,6,3,2,2,1
10007164,UWE Bristol,D,28,History,,,,0,3,2,1,1,1,0
10007164,UWE Bristol,D,32,"Art and Design: History, Practice and Theory",,,,0,1,2,4,1,3,1
10007164,UWE Bristol,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,3,3,4,7,4,2,4
10007800,UWS,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,3,1,0,0,9.5,11,11.5
10007800,UWS,B,7,Earth Systems and Environmental Sciences,,,,2,0,0,0,3,1,5
10007800,UWS,B,9,Physics,,,,2,0,0,0,5,5.5,5
10007800,UWS,B,11,Computer Science and Informatics,,,,4,0,0,0,9,7.5,14
10007800,UWS,B,12,Engineering,,,,1,0,0,0,5,6.5,2.5
10007800,UWS,C,17,Business and Management Studies,,,,3,1,0,1,3,8,7.5
10007800,UWS,C,20,Social Work and Social Policy,,,,4,0,2,1,6,4.5,4
10007800,UWS,C,23,Education,,,,0,0,0,0,3.5,4,5.5
10007800,UWS,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,4,0,6,1,3,5,2
10007800,UWS,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,3,0,0,0,6,3,0
10007165,University of Westminster,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,11,5,9,9,14,14
10007165,University of Westminster,A,4,"Psychology, Psychiatry and Neuroscience",,,,2,2,1,2,1,3,2
10007165,University of Westminster,B,11,Computer Science and Informatics,,,,2,10,5,6,5,7,5
10007165,University of Westminster,C,13,"Architecture, Built Environment and Planning",,,,2,9,3,7,5,2,1
10007165,University of Westminster,C,17,Business and Management Studies,,,,2,3,1,7,4,9,4
10007165,University of Westminster,C,18,Law,,,,6,9,10,4,2,4,3
10007165,University of Westminster,C,19,Politics and International Studies,,,,0,9,4,6,0,5,1
10007165,University of Westminster,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,0
10007165,University of Westminster,D,26,Modern Languages and Linguistics,,,,0,1,0,2,1,0,1
10007165,University of Westminster,D,27,English Language and Literature,,,,3,1,2,5,0,2,5
10007165,University of Westminster,D,28,History,,,,1,0,0,2,1,0,1
10007165,University of Westminster,D,32,"Art and Design: History, Practice and Theory",,,,1,11,7,9,3,7,5
10007165,University of Westminster,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,5,19,7,9,8,8,8
10003614,University of Winchester,A,4,"Psychology, Psychiatry and Neuroscience",,,,0,0.5,0,1,0,0,2
10003614,University of Winchester,C,15,Archaeology,,,,0.75,1,2,1,0,2,0
10003614,University of Winchester,C,17,Business and Management Studies,,,,0.33,0.33,0,1,1.33,1,0
10003614,University of Winchester,C,18,Law,,,,0,0,0,0,0,0,0
10003614,University of Winchester,C,19,Politics and International Studies,,,,0,0,0,0,0,0,0.25
10003614,University of Winchester,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,0
10003614,University of Winchester,C,23,Education,,,,4,2,2.25,3,4,4.33,5.33
10003614,University of Winchester,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,0,0.5,0,0.33,1,2,2.42
10003614,University of Winchester,D,27,English Language and Literature,,,,0.75,0.58,0.67,0,0.66,0.66,0.67
10003614,University of Winchester,D,28,History,,,,4.92,1.75,5,2.08,2,5.67,1
10003614,University of Winchester,D,31,Theology and Religious Studies,,,,5.75,3,4.41,3,2.5,1,3
10003614,University of Winchester,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1.25,0.67,0,1,3.25,2,0
10003614,University of Winchester,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,1.25,1.67,0.67,1.25,5.42,3.34,4.33
10007166,University of Wolverhampton,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,2,6,9,3,6,4,10
10007166,University of Wolverhampton,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,0,1,3,1,2,2
10007166,University of Wolverhampton,B,11,Computer Science and Informatics,,,,2,0,1,2,1,0,0
10007166,University of Wolverhampton,B,12,Engineering,,,,3,2,6,6,3,2,4
10007166,University of Wolverhampton,C,13,"Architecture, Built Environment and Planning",,,,4,10,11,8,5,7,14
10007166,University of Wolverhampton,C,17,Business and Management Studies,,,,1,2,6,3,5,1,7
10007166,University of Wolverhampton,C,18,Law,,,,0,1,0,2,4,0,3
10007166,University of Wolverhampton,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,0
10007166,University of Wolverhampton,C,23,Education,,,,1,0,1,1,0,2,1
10007166,University of Wolverhampton,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,2,0,0,3,1,0,5
10007166,University of Wolverhampton,D,25,Area Studies,,,,0,0,0,0,1,0,0
10007166,University of Wolverhampton,D,26,Modern Languages and Linguistics,,,,2,2,0,2,0,1,3
10007166,University of Wolverhampton,D,27,English Language and Literature,,,,0,0,1,0,0,1,1
10007166,University of Wolverhampton,D,28,History,,,,3,1,0,2,1,1,3
10007166,University of Wolverhampton,D,32,"Art and Design: History, Practice and Theory",,,,3,4,2,3,0,1,1
10007166,University of Wolverhampton,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,1,0,2,1,0,2
10007166,University of Wolverhampton,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,,3,3,0,2,0,1,0
10007139,University of Worcester,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,0,0,0.5,1.5,3.5,0.5,2
10007139,University of Worcester,A,4,"Psychology, Psychiatry and Neuroscience",,,,1.5,0.5,1.5,0.5,0.5,0,1
10007139,University of Worcester,A,5,Biological Sciences,,,,1,2,1,2,1,0.5,1
10007139,University of Worcester,C,14,Geography and Environmental Studies,,,,3.5,4,2,1,0,0.5,2
10007139,University of Worcester,C,17,Business and Management Studies,,,,0,1.5,1,0,0,1,2
10007139,University of Worcester,C,20,Social Work and Social Policy,,,,0,0,0,0,0,0,0
10007139,University of Worcester,C,23,Education,,,,3,3,5,0.5,4,0.5,2
10007139,University of Worcester,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,1,1,0.5,3,1,1.5,2.5
10007139,University of Worcester,D,27,English Language and Literature,,,,0,1,3.5,0.5,0,1,0
10007139,University of Worcester,D,28,History,,,,0,0,2,0,1,0,1
10007139,University of Worcester,D,32,"Art and Design: History, Practice and Theory",,,,0,0,0,1,0,0,0
10007139,University of Worcester,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,0,0,0,0,0,0,0
10007167,University of York,A,2,"Public Health, Health Services and Primary Care",,,,10,6.2,7.5,5.5,5,12.7,10.5
10007167,University of York,A,4,"Psychology, Psychiatry and Neuroscience",,,,9,12,9.5,23.5,12.2,18,13
10007167,University of York,A,5,Biological Sciences,,,,23.3,28.2,33.5,30.7,28.2,26.8,24.5
10007167,University of York,B,7,Earth Systems and Environmental Sciences,,,,16,10,8.5,10,11.5,19.3,14.2
10007167,University of York,B,8,Chemistry,,,,30,35.8,28.1,42.7,39,37.1,27.5
10007167,University of York,B,9,Physics,,,,21,16.4,20.5,27,24,28.3,28.2
10007167,University of York,B,10,Mathematical Sciences,,,,7.5,8,8.5,4.2,13.5,12.8,8
10007167,University of York,B,11,Computer Science and Informatics,,,,24.3,24,12.5,20.2,24,29,19
10007167,University of York,B,12,Engineering,,,,25,20.1,18.5,18.5,20.3,28,26.2
10007167,University of York,C,15,Archaeology,,,,8.3,7,14.9,12,14,11.5,13
10007167,University of York,C,16,Economics and Econometrics,,,,11,12.3,5,6.5,14,8.5,9
10007167,University of York,C,17,Business and Management Studies,,,,9,11,6.5,13,7.8,13.5,7.5
10007167,University of York,C,18,Law,,,,0.5,2.1,4.3,2,6,6.5,1
10007167,University of York,C,19,Politics and International Studies,,,,14,9.3,13.3,5.5,13,8.5,7.8
10007167,University of York,C,20,Social Work and Social Policy,,,,6,5.96,12,7,11.5,10,4
10007167,University of York,C,21,Sociology,,,,11,7.3,13,6.5,13.7,11,13
10007167,University of York,C,23,Education,,,,10.5,10,14,19,24.9,25,19.5
10007167,University of York,D,26,Modern Languages and Linguistics,,,,3,11.5,8,9,6.5,9.5,11
10007167,University of York,D,27,English Language and Literature,,,,14.5,21,16,13.8,22.5,20,19
10007167,University of York,D,28,History,,,,18.5,8.5,17.5,10.5,14,10,18
10007167,University of York,D,30,Philosophy,,,,3.5,8.3,6,3,7,3,7.8
10007167,University of York,D,32,"Art and Design: History, Practice and Theory",,,,14,10,8,11,8.5,13,14.5
10007167,University of York,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",A,A - Music,,14,5,18.5,5,5,7,9
10007167,University of York,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",B,"B � Theatre, Film, Television and Interactive Media",,4,4,2,7,5,4,7
10007713,York St John University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,,1,0,0.5,1.5,1.67,1.33,0
10007713,York St John University,A,4,"Psychology, Psychiatry and Neuroscience",,,,1,0,0,0.5,0.67,0,1
10007713,York St John University,C,14,Geography and Environmental Studies,,,,0,0,0,0,0,1,0
10007713,York St John University,C,17,Business and Management Studies,,,,1,1,0,1,0.33,1,0
10007713,York St John University,C,21,Sociology,,,,0,0,0,0,0,0,0
10007713,York St John University,C,23,Education,,,,0,1,0,0,0,2,5
10007713,York St John University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,,2,0,1,0,1.33,0.66,1
10007713,York St John University,D,26,Modern Languages and Linguistics,,,,1,1,1.5,1,1,1,0
10007713,York St John University,D,27,English Language and Literature,,,,0.5,1,0.5,0,0,0,2
10007713,York St John University,D,28,History,,,,0,0,0,0,0,0,0
10007713,York St John University,D,31,Theology and Religious Studies,,,,2,1,3,0,1,2,0
10007713,York St John University,D,32,"Art and Design: History, Practice and Theory",,,,0.5,0,0,0,0,0,0
10007713,York St John University,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,,1,1,0.5,1,1,2,0
